Galaxy Number,X coord,Y coord,X radius,Y radius,Pixel Count 
181,1969,2161,10,10,87383.0 
182,2406,558,11,10,122699.0 
183,2468,470,1,22,15175.0 
184,1323,1728,13,13,195871.0 
185,322,2791,9,8,49165.0 
186,2467,476,2,17,38643.0 
187,1012,2114,8,7,42271.0 
188,1598,133,12,14,122265.0 
189,2087,4510,14,1,5456.0 
190,1413,4478,11,11,77047.0 
191,546,3953,12,11,121023.0 
192,1660,2010,11,10,107047.0 
193,2094,4510,7,1,2949.0 
194,1976,1982,8,7,46201.0 
195,969,2420,7,7,37665.0 
196,2467,469,2,24,45888.0 
197,1906,1956,11,10,123272.0 
198,2078,1394,16,55,127096.0 
199,1722,3337,12,11,116366.0 
200,1879,2370,13,10,109384.0 
201,2373,2326,17,18,216439.0 
202,1170,2886,10,9,51480.0 
203,1963,1562,12,11,112661.0 
204,2466,478,3,14,25715.0 
205,1105,910,10,15,130075.0 
206,185,3090,8,7,35687.0 
207,1475,4011,7,11,33518.0 
208,687,294,11,9,70316.0 
209,1791,3355,8,9,33573.0 
210,490,4094,7,7,32543.0 
211,2335,1383,12,11,112202.0 
212,1866,2698,7,6,31071.0 
213,2090,1560,13,11,115063.0 
214,1366,4070,7,6,30605.0 
215,2468,467,1,25,9764.0 
216,1215,1041,7,7,35868.0 
217,563,3177,7,7,37129.0 
218,1073,1936,14,15,152424.0 
219,1397,1680,7,7,32807.0 
220,1215,3245,10,9,31004.0 
221,1012,757,9,11,74470.0 
222,1490,4423,7,7,29249.0 
223,900,2865,11,9,56189.0 
224,2467,466,2,27,30811.0 
225,2390,462,7,7,34019.0 
226,2406,4418,2,2,2254.0 
227,1516,2485,7,7,29852.0 
228,2230,251,8,7,42308.0 
229,1580,1499,9,8,50115.0 
230,1450,2567,7,11,18201.0 
231,2442,4240,7,6,29128.0 
232,1200,3185,17,14,62517.0 
233,1799,461,10,10,68120.0 
234,1466,3482,12,15,110642.0 
235,245,3132,7,7,29604.0 
236,717,1104,11,12,89769.0 
237,2125,4284,8,7,37911.0 
238,975,2907,7,7,27676.0 
239,828,2670,10,10,50968.0 
240,1285,3381,16,11,60885.0 
241,908,3395,23,9,88784.0 
242,404,1250,7,6,27498.0 
243,688,3349,12,10,82093.0 
