Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
73,1344,2660,11,10,6425.0,3438.98952096,2672,104582,12.7513576427 
74,1038,437,1,6,6384.0,3561.90523338,707,76551,13.0901228291 
75,844,3423,15,13,6361.0,3435.56037964,4952,164164,12.2618051862 
76,1998,1706,9,8,6354.0,3418.82359551,1780,80792,13.031579102 
77,1132,2697,14,15,6338.0,3432.88287561,4952,223129,11.9286099524 
78,896,3096,12,9,6337.0,3431.7,3160,90114,12.9130193308 
79,1662,2866,17,19,6328.0,3444.36655746,7936,319349,11.5393360986 
80,1038,445,1,6,6316.0,3429.3593985,665,45578,13.6531118398 
81,640,3353,23,18,6277.0,3446.7486259,11644,512687,11.0253692366 
82,258,839,15,14,6239.0,3431.95712064,4501,175363,12.1901550837 
83,1740,3298,17,22,6152.0,3464.70806452,6820,184925,12.1325109316 
84,2340,422,13,15,6128.0,3412.48263328,4952,286168,11.6584473293 
85,413,3703,10,1,6128.0,3431.20577617,1662,41172,13.7634950897 
86,2304,4160,9,8,6124.0,3412.07303371,1780,70213,13.183956176 
87,1292,500,21,16,6116.0,3433.67020619,9700,551937,10.9452762283 
88,1880,1764,9,8,6083.0,3418.16797753,1780,75816,13.100597831 
89,2077,1667,8,8,6080.0,3426.44491525,1416,73464,13.1348135717 
90,1310,2696,9,9,6071.0,3431.97752809,1780,75643,13.1030781384 
91,2338,3070,11,10,5971.0,3423.64520958,2672,122227,12.5820821191 
92,1032,426,2,3,5952.0,3571.34965035,143,26829,14.2284887863 
93,1028,427,2,2,5936.0,3429.8028169,71,17416,14.6976289599 
94,2009,2587,9,8,5880.0,3425.27808989,1780,65229,13.2638981986 
95,2099,748,15,12,5864.0,3408.70315024,4952,189549,12.1056962561 
96,2139,956,9,7,5800.0,3409.78033708,1780,74813,13.1150573243 
97,2114,2557,10,8,5749.0,3417.68366426,2216,77464,13.0772502029 
98,2106,4363,12,9,5729.0,3418.48006329,3160,116711,12.6322205245 
99,852,1164,12,16,5686.0,3425.65060241,5644,183424,12.1413595999 
100,110,2602,9,10,5636.0,3433.39011704,1538,78865,13.0577892309 
101,1237,1064,10,8,5598.0,3432.7265343,2216,75073,13.1112905722 
102,1632,2223,9,7,5565.0,3419.85,1780,60662,13.3427081882 
103,1401,1144,10,10,5542.0,3421.92297236,2207,107283,12.7236727266 
104,249,1402,8,8,5542.0,3423.33333333,1416,67902,13.2202935843 
105,187,2710,8,9,5481.0,3422.10842697,1780,60364,13.3480549739 
106,1118,283,12,12,5456.0,3428.46623794,3110,134361,12.4793169313 
107,2052,940,8,7,5443.0,3411.11864407,1416,65213,13.2641645511 
108,1067,3391,14,12,5441.0,3439.34430028,4316,90797,12.9048212516 
109,513,3905,13,13,5427.0,3427.83721599,3477,116292,12.636125401 
110,1243,3453,11,9,5407.0,3450.57186732,1628,54624,13.4565412514 
111,2467,472,2,22,5373.0,3409.96511838,5533,360811,11.4068005766 
112,1714,319,8,8,5323.0,3414.39130435,1403,65034,13.2671488333 
113,1248,574,16,10,5316.0,3429.84727144,5644,145146,12.3954873204 
114,1424,2195,1,9,5229.0,3420.87979967,1198,42824,13.7207819241 
115,2139,3061,9,7,5178.0,3433.05224719,1780,41686,13.7500244395 
116,627,294,12,9,5135.0,3434.19936709,3160,96142,12.8427171192 
117,1668,3427,10,10,5128.0,3448.79528465,1739,45527,13.6543274164 
118,1024,241,13,19,5123.0,3424.73727319,7936,187452,12.1177748039 
119,2200,3536,9,21,5114.0,3421.67103093,9700,142249,12.417376945 
120,869,2882,25,20,5103.0,3440.96018599,13764,420624,11.2402648773 
121,988,183,14,18,5037.0,3424.82294897,7094,205440,12.018287484 
122,911,1605,8,7,5034.0,3425.02683616,1416,48783,13.5793287387 
123,1856,3032,8,7,5027.0,3432.4329096,1416,40514,13.7809871906 
124,1141,3479,12,13,5019.0,3443.00294748,3732,73564,13.1333366607 
125,1969,2161,13,11,5016.0,3419.14871383,3732,102582,12.7723220948 
126,2406,558,13,10,5015.0,3409.68569132,3732,134336,12.4795189686 
127,1323,1728,14,14,4992.0,3425.9186747,4316,210747,11.9905964972 
128,322,2791,8,8,4979.0,3422.19279661,1416,49061,13.5731590098 
129,1012,2114,8,8,4967.0,3421.31920904,1416,44165,13.6873044131 
130,1598,133,12,15,4963.0,3424.93052859,4635,139576,12.4379731298 
131,1413,4478,11,11,4929.0,3427.65561224,2352,79801,13.044979166 
132,546,3953,13,12,4909.0,3424.51339764,3732,128561,12.5272268953 
133,1660,2010,11,11,4901.0,3417.40381737,2672,111862,12.6782935503 
134,1976,1982,8,8,4859.0,3419.74223164,1416,48798,13.5789949433 
135,969,2420,8,7,4858.0,3438.05084746,1416,38336,13.8409830091 
136,1906,1956,12,10,4830.0,3419.53955696,3160,132615,12.4935183759 
137,1722,3337,14,14,4800.0,3448.40681622,2318,132884,12.4913182687 
138,1879,2370,13,11,4788.0,3418.73365488,3732,118178,12.6186584103 
139,2373,2326,21,23,4768.0,3425.81853315,11644,259843,11.7632224457 
140,1170,2886,10,11,4751.0,3454.52806886,2672,60654,13.3428513827 
141,1963,1562,13,16,4742.0,3423.53344623,4724,137332,12.4555706379 
142,1105,910,10,17,4729.0,3422.68922739,6368,140946,12.4273681119 
143,185,3090,8,8,4724.0,3418.82909605,1416,37170,13.8745185973 
144,1475,4011,8,6,4721.0,3436.28660436,963,32083,14.0343125718 
145,687,294,11,9,4720.0,3431.23502994,2672,74461,13.1201778389 
146,1791,3355,8,10,4711.0,3440.51353791,2216,34853,13.9443995843 
147,490,4094,8,7,4711.0,3424.30367232,1416,34937,13.9417859753 
148,2335,1383,12,12,4699.0,3431.23575949,3160,114814,12.6500128811 
149,1866,2698,7,7,4690.0,3427.81088561,1084,32704,14.0134978147 
150,2090,1560,13,11,4671.0,3423.9718706,3555,118244,12.6180522181 
151,1366,4070,8,6,4666.0,3424.94067797,1416,33653,13.9824405362 
152,1215,1041,7,7,4655.0,3434.83579336,1084,36774,13.8861478207 
153,563,3177,9,8,4650.0,3424.10842697,1780,43192,13.7114917138 
154,1073,1936,24,15,4644.0,3418.8460019,12656,258060,11.7706982677 
155,1397,1680,7,7,4618.0,3420.66789668,1084,33590,13.9844749904 
156,1012,757,10,12,4606.0,3427.47468354,3160,80811,13.0313237975 
157,1490,4423,7,7,4599.0,3424.47601476,1084,29914,14.1103137767 
158,900,2865,12,11,4598.0,3457.63188406,2415,83718,12.9929528885 
159,2390,462,6,7,4589.0,3410.32564576,1084,35000,13.9398298891 
160,1516,2485,8,7,4584.0,3430.16384181,1416,31633,14.0496490466 
161,2230,251,8,7,4574.0,3409.37782486,1416,44290,13.6842357993 
162,1580,1499,10,9,4564.0,3419.13583032,2216,56402,13.4217637394 
163,1450,2567,7,13,4552.0,3426.80295203,2710,36080,13.9068336778 
164,2442,4240,6,6,4548.0,3415.1974359,780,29126,14.1392978871 
165,1799,461,11,22,4526.0,3406.68862613,10656,113311,12.6643198192 
166,245,3132,7,7,4501.0,3421.73154982,1084,30378,14.0936020556 
167,717,1104,11,13,4498.0,3421.83547696,3732,96070,12.8435305232 
168,2125,4284,8,7,4498.0,3420.48234463,1416,39172,13.8175606354 
169,975,2907,7,7,4497.0,3437.49169742,1084,28485,14.1634594405 
170,828,2670,12,11,4485.0,3438.87278481,3160,56664,13.416731928 
171,908,3395,25,10,4480.0,3438.99840536,12542,130635,12.509851126 
172,404,1250,7,7,4465.0,3420.92804428,1084,29235,14.1352422546 
173,688,3349,13,10,4465.0,3436.53248628,3463,84683,12.9805094124 
174,1882,3260,13,9,4461.0,3430.74617655,3727,70000,13.1872549 
175,1733,854,21,11,4459.0,3410.93371134,9700,176515,12.1830459574 
176,1177,1010,9,8,4448.0,3430.98764045,1780,48012,13.5966255064 
177,1110,2585,11,11,4441.0,3431.06923653,2672,90735,12.9055628911 
178,908,3224,12,9,4439.0,3435.11012658,3160,51896,13.5121652877 
179,1034,927,11,10,4438.0,3424.88772455,2672,70449,13.1803129179 
180,1872,1290,8,8,4433.0,3415.83403955,1416,40331,13.785902524 
181,2467,1682,2,11,4416.0,3437.75156142,1441,67243,13.2308822976 
182,871,2402,8,6,4408.0,3424.53036723,1416,28642,14.157491649 
183,613,2777,13,14,4402.0,3428.53313253,4316,132904,12.4911548698 
184,1573,4444,6,6,4401.0,3422.44230769,780,23051,14.3932755732 
185,1280,4337,7,6,4392.0,3424.37361624,1084,23515,14.3716375423 
186,2281,2641,14,9,4374.0,3417.5699722,4316,83832,12.9914754316 
187,338,3855,12,9,4371.0,3422.55031646,3160,62535,13.3096921145 
188,1195,120,7,7,4362.0,3425.2998155,1084,32421,14.0229339845 
189,576,928,6,6,4358.0,3430.76923077,780,26568,14.2391028435 
190,442,2519,9,10,4354.0,3425.77933213,2216,62657,13.3075760071 
191,607,3305,11,10,4352.0,3438.97417665,2672,73178,13.1390486606 
192,1822,610,6,6,4341.0,3416.7974359,780,26552,14.2397569015 
193,1992,980,8,8,4336.0,3411.40112994,1416,44391,13.6817626787 
194,1335,834,9,15,4335.0,3426.94022617,4952,90145,12.9126458923 
195,1101,3876,8,7,4323.0,3435.61370056,1416,28755,14.1532165702 
196,190,350,11,9,4320.0,3436.89034431,2672,47646,13.604933884 
197,2113,471,10,12,4319.0,3417.00063291,3160,88988,12.9266713847 
198,1956,1011,8,8,4319.0,3412.83545198,1416,50656,13.538422767 
199,1474,4484,10,13,4315.0,3436.69098458,3372,56816,13.4138233626 
200,2278,3135,6,6,4313.0,3421.96666667,780,20415,14.5251265394 
201,2139,4072,7,12,4309.0,3414.46265823,3160,34111,13.9677638715 
202,457,3886,12,12,4305.0,3423.8664557,3160,80986,13.0289751271 
203,548,1907,7,7,4304.0,3420.93450185,1084,27089,14.218017567 
204,372,2971,9,10,4293.0,3423.15072202,2216,53110,13.4870592465 
205,1299,1463,6,6,4272.0,3421.76282051,780,22144,14.4368598181 
206,2113,3146,14,8,4256.0,3422.08966636,4316,70207,13.1840489608 
207,181,4241,10,9,4255.0,3425.85108303,2216,56823,13.413689603 
208,2170,2210,10,7,4247.0,3417.03294224,2216,53967,13.4696793087 
209,1041,1635,7,6,4243.0,3420.97416974,1084,22959,14.3976175799 
210,886,382,10,9,4240.0,3426.25225632,2216,54177,13.4654626182 
211,243,1251,7,7,4236.0,3420.74630996,1084,25010,14.3047157707 
212,1633,244,7,6,4233.0,3415.41512915,1084,27913,14.1854837111 
213,2070,3693,11,9,4227.0,3425.19386228,2672,52084,13.5082391744 
214,2321,4043,7,8,4221.0,3415.68149718,1416,38453,13.8376744301 
215,1262,2661,9,8,4217.0,3430.2994382,1780,37386,13.8682274959 
216,2148,4382,5,4,4217.0,3418.93617021,564,15502,14.8240306686 
217,1707,508,7,6,4204.0,3414.24169742,1084,25097,14.3009454733 
218,2307,3097,8,8,4198.0,3421.7930791,1416,31650,14.0490657141 
219,1239,2946,13,12,4193.0,3445.94027816,3667,60356,13.3481988753 
220,212,1460,16,13,4190.0,3427.78472714,5644,104939,12.7476576967 
221,1353,793,9,9,4189.0,3428.84550562,1780,48112,13.5943664731 
222,1840,3954,9,10,4185.0,3434.95803249,2216,50408,13.5437513335 
223,574,3477,5,5,4178.0,3435.36347518,564,16495,14.7566192003 
224,1876,4009,7,7,4178.0,3421.35885609,1084,25672,14.2763507398 
225,296,1452,8,6,4174.0,3420.86370056,1416,28681,14.1560142763 
226,189,765,10,10,4169.0,3429.13131769,2216,62783,13.3053948399 
227,790,2674,12,10,4163.0,3435.49345121,3054,65823,13.2540558196 
228,399,3088,8,8,4160.0,3422.20480226,1416,31663,14.0486198477 
229,599,1965,9,7,4157.0,3419.48314607,1780,33966,13.9723889868 
230,496,1552,10,9,4154.0,3435.94945848,2216,51588,13.5186282721 
231,1872,711,7,10,4149.0,3407.82806859,2216,41507,13.7546966374 
232,2015,110,9,7,4142.0,3421.52918288,1285,59100,13.3710312978 
233,690,2929,8,9,4139.0,3427.40955056,1780,37237,13.8725632881 
234,844,1224,8,9,4135.0,3424.61966292,1780,37502,13.8648639263 
235,1106,4192,8,6,4135.0,3422.6970339,1416,34761,13.9472693458 
236,505,1490,9,10,4134.0,3428.35965704,2216,42690,13.724184613 
237,1794,3129,9,7,4134.0,3438.38820225,1780,25175,14.2975763019 
238,1918,1899,8,7,4125.0,3421.38629944,1416,28497,14.163002144 
239,1834,1960,6,14,4122.0,3414.97937905,4316,37147,13.8751906355 
240,440,694,11,15,4121.0,3427.37843296,4952,93893,12.8684169612 
241,2415,2001,7,6,4112.0,3426.11254613,1084,18232,14.6479142196 
242,1606,4299,8,9,4111.0,3421.05786517,1780,34866,13.9439946854 
243,902,2853,18,1,4108.0,3435.12320471,5779,37380,13.8684017574 
244,2020,3427,6,6,4106.0,3428.97435897,780,15746,14.8070743822 
245,1322,693,9,10,4103.0,3432.64666065,2216,36281,13.9008018779 
246,448,1007,10,9,4103.0,3421.24909747,2216,44867,13.6701824207 
247,1331,3729,6,6,4090.0,3435.28589744,780,15412,14.8303524991 
248,979,4478,6,5,4090.0,3419.13717949,780,15746,14.8070743822 
249,1112,1849,7,9,4085.0,3420.09662921,1780,34513,13.9550432214 
250,2167,1934,9,7,4079.0,3424.46235955,1780,39789,13.8005924391 
251,2201,1490,6,5,4071.0,3426.37179487,780,15804,14.8030824475 
252,2363,3752,8,7,4069.0,3430.87641243,1416,27870,14.1871575782 
253,518,2653,10,11,4065.0,3423.93862275,2672,56941,13.4114372751 
254,783,2873,8,7,4065.0,3429.09392655,1416,26022,14.2616483187 
255,1956,2093,7,7,4063.0,3421.35793358,1084,26014,14.2619821602 
256,2223,2717,8,8,4063.0,3424.3460452,1416,31081,14.0687625416 
257,125,992,6,6,4059.0,3425.26282051,780,20462,14.5226297992 
258,1483,794,6,5,4058.0,3428.17564103,780,16826,14.7350477886 
259,932,1144,9,8,4054.0,3426.97921348,1780,35477,13.9251327801 
260,594,1613,7,6,4052.0,3422.55535055,1084,24638,14.3209863728 
261,1196,2267,11,7,4047.0,3426.2369012,2672,46229,13.6377137522 
262,1451,1123,7,6,4044.0,3424.00693481,721,19035,14.6011177971 
263,1918,3965,11,9,4041.0,3423.21182635,2672,54408,13.4608430954 
264,743,1179,10,10,4039.0,3426.28203971,2216,48718,13.5807763723 
265,920,4279,6,4,4039.0,3420.67307692,780,14066,14.9295734673 
266,124,2616,8,6,4038.0,3420.78207237,1216,20644,14.513015374 
267,363,2221,8,8,4035.0,3425.56214689,1416,34237,13.9637607429 
268,473,2984,8,7,4035.0,3423.09816384,1416,26496,14.2420492122 
269,2294,4489,4,5,4029.0,3421.07978723,564,12355,15.0703931257 
270,1170,2360,6,6,4027.0,3424.80128205,780,18955,14.6056905281 
271,1575,564,8,8,4024.0,3427.01694915,1416,43645,13.7001637554 
272,723,2226,11,9,4023.0,3426.96783161,2518,57872,13.3938287715 
273,477,4318,10,8,4019.0,3422.80415162,2216,42112,13.738985331 
274,2129,2181,11,8,4018.0,3415.10741018,2672,48577,13.5839232742 
275,889,3281,8,7,4018.0,3434.51765537,1416,20279,14.532383662 
276,2245,203,7,6,4014.0,3415.83763838,1084,24388,14.3320595341 
277,1951,2757,11,16,4012.0,3437.80740609,5644,41323,13.7595203919 
278,1030,374,8,8,4011.0,3429.10875706,1416,29178,14.1373612001 
279,1559,1777,9,8,4009.0,3420.25280899,1780,44399,13.6815670285 
280,2278,3171,5,6,4008.0,3423.58717949,780,13874,14.9444957746 
281,1467,1349,6,5,4006.0,3419.69230769,780,15541,14.8213025989 
282,2289,3506,7,6,4006.0,3423.59686347,1084,19023,14.6018024802 
283,214,715,9,9,4001.0,3425.20898876,1780,32050,14.0354299154 
284,1801,2116,11,10,3992.0,3416.16878743,2672,52930,13.490745265 
285,1388,107,8,9,3989.0,3444.91809291,818,23584,14.3684563346 
286,1419,396,1,7,3987.0,3447.28183962,848,19619,14.568307832 
287,1119,2796,14,10,3986.0,3431.86283596,4316,44816,13.6714172713 
288,1161,1673,7,8,3983.0,3420.38559322,1416,30143,14.1020338161 
289,2416,2313,13,8,3982.0,3423.10928635,3349,38304,13.8418896782 
290,1575,3585,13,9,3980.0,3439.27625938,3732,44258,13.6850205389 
291,1626,1674,6,5,3979.0,3418.19230769,780,14460,14.8995792676 
292,1441,307,1,5,3978.0,3426.85531915,235,2096,16.9965218042 
293,697,508,8,8,3977.0,3428.95550847,1416,26445,14.2441410716 
294,2061,995,5,6,3977.0,3414.83717949,780,19230,14.5900517894 
295,951,1991,5,5,3977.0,3426.40425532,564,13954,14.9382532034 
296,1480,130,2,1,3976.0,3418.06666667,45,615,18.3278122106 
297,122,1562,6,6,3969.0,3422.43974359,780,15984,14.7907863228 
298,1501,4468,7,6,3968.0,3430.88837209,1075,19749,14.5611372255 
299,511,1522,10,11,3967.0,3435.55020408,2450,36808,13.8851444494 
300,1152,2892,9,9,3967.0,3452.57298031,1473,19653,14.5664278646 
301,280,760,14,11,3966.0,3424.02432808,4316,78331,13.0651658227 
302,818,1637,8,7,3965.0,3425.00353107,1416,30085,14.1041249604 
303,1365,4506,8,4,3964.0,3419.84852071,845,17419,14.6974419521 
304,883,437,8,7,3962.0,3425.53248588,1416,29528,14.1244149195 
305,1880,144,5,6,3953.0,3409.91025641,780,14489,14.8974039689 
306,813,2814,6,5,3953.0,3433.65769231,780,13131,15.0042554967 
307,2058,2573,8,6,3949.0,3424.2259887,1416,20035,14.5455266331 
308,959,1117,8,8,3945.0,3424.58333333,1416,27728,14.1927036366 
309,2443,1751,7,5,3943.0,3433.41143911,1084,13883,14.9437916909 
310,1537,1859,7,5,3942.0,3417.78782288,1084,20027,14.5459602555 
311,989,2410,8,7,3942.0,3427.54015152,1320,28933,14.1465163324 
312,332,2435,9,8,3942.0,3426.08229243,1361,29685,14.1186573668 
313,1445,420,1,6,3940.0,3425.34509804,255,2333,16.880213153 
