Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
100,110,2602,9,10,5636,3433.390117,1538,78865,13.05778923
101,1237,1064,10,8,5598,3432.726534,2216,75073,13.11129057
102,1632,2223,9,7,5565,3419.85,1780,60662,13.34270819
103,1401,1144,10,10,5542,3421.922972,2207,107283,12.72367273
104,249,1402,8,8,5542,3423.333333,1416,67902,13.22029358
105,187,2710,8,9,5481,3422.108427,1780,60364,13.34805497
106,1118,283,12,12,5456,3428.466238,3110,134361,12.47931693
107,2052,940,8,7,5443,3411.118644,1416,65213,13.26416455
108,1067,3391,14,12,5441,3439.3443,4316,90797,12.90482125
109,513,3905,13,13,5427,3427.837216,3477,116292,12.6361254
110,1243,3453,11,9,5407,3450.571867,1628,54624,13.45654125
111,2467,472,2,22,5373,3409.965118,5533,360811,11.40680058
112,1714,319,8,8,5323,3414.391304,1403,65034,13.26714883
113,1248,574,16,10,5316,3429.847271,5644,145146,12.39548732
114,1424,2195,1,9,5229,3420.8798,1198,42824,13.72078192
115,2139,3061,9,7,5178,3433.052247,1780,41686,13.75002444
116,627,294,12,9,5135,3434.199367,3160,96142,12.84271712
117,1668,3427,10,10,5128,3448.795285,1739,45527,13.65432742
118,1024,241,13,19,5123,3424.737273,7936,187452,12.1177748
119,2200,3536,9,21,5114,3421.671031,9700,142249,12.41737695
120,869,2882,25,20,5103,3440.960186,13764,420624,11.24026488
121,988,183,14,18,5037,3424.822949,7094,205440,12.01828748
122,911,1605,8,7,5034,3425.026836,1416,48783,13.57932874
123,1856,3032,8,7,5027,3432.43291,1416,40514,13.78098719
124,1141,3479,12,13,5019,3443.002947,3732,73564,13.13333666
125,1969,2161,13,11,5016,3419.148714,3732,102582,12.77232209
126,2406,558,13,10,5015,3409.685691,3732,134336,12.47951897
127,1323,1728,14,14,4992,3425.918675,4316,210747,11.9905965
128,322,2791,8,8,4979,3422.192797,1416,49061,13.57315901
129,1012,2114,8,8,4967,3421.319209,1416,44165,13.68730441
130,1598,133,12,15,4963,3424.930529,4635,139576,12.43797313
131,1413,4478,11,11,4929,3427.655612,2352,79801,13.04497917
132,546,3953,13,12,4909,3424.513398,3732,128561,12.5272269
133,1660,2010,11,11,4901,3417.403817,2672,111862,12.67829355
134,1976,1982,8,8,4859,3419.742232,1416,48798,13.57899494
135,969,2420,8,7,4858,3438.050847,1416,38336,13.84098301
136,1906,1956,12,10,4830,3419.539557,3160,132615,12.49351838
137,1722,3337,14,14,4800,3448.406816,2318,132884,12.49131827
138,1879,2370,13,11,4788,3418.733655,3732,118178,12.61865841
139,2373,2326,21,23,4768,3425.818533,11644,259843,11.76322245
140,1170,2886,10,11,4751,3454.528069,2672,60654,13.34285138
141,1963,1562,13,16,4742,3423.533446,4724,137332,12.45557064
142,1105,910,10,17,4729,3422.689227,6368,140946,12.42736811
143,185,3090,8,8,4724,3418.829096,1416,37170,13.8745186
144,1475,4011,8,6,4721,3436.286604,963,32083,14.03431257
145,687,294,11,9,4720,3431.23503,2672,74461,13.12017784
146,1791,3355,8,10,4711,3440.513538,2216,34853,13.94439958
147,490,4094,8,7,4711,3424.303672,1416,34937,13.94178598
148,2335,1383,12,12,4699,3431.235759,3160,114814,12.65001288
149,1866,2698,7,7,4690,3427.810886,1084,32704,14.01349781
150,2090,1560,13,11,4671,3423.971871,3555,118244,12.61805222
151,1366,4070,8,6,4666,3424.940678,1416,33653,13.98244054
152,1215,1041,7,7,4655,3434.835793,1084,36774,13.88614782
153,563,3177,9,8,4650,3424.108427,1780,43192,13.71149171
154,1073,1936,24,15,4644,3418.846002,12656,258060,11.77069827
155,1397,1680,7,7,4618,3420.667897,1084,33590,13.98447499
156,1012,757,10,12,4606,3427.474684,3160,80811,13.0313238
157,1490,4423,7,7,4599,3424.476015,1084,29914,14.11031378
158,900,2865,12,11,4598,3457.631884,2415,83718,12.99295289
159,2390,462,6,7,4589,3410.325646,1084,35000,13.93982989
160,1516,2485,8,7,4584,3430.163842,1416,31633,14.04964905
161,2230,251,8,7,4574,3409.377825,1416,44290,13.6842358
162,1580,1499,10,9,4564,3419.13583,2216,56402,13.42176374
163,1450,2567,7,13,4552,3426.802952,2710,36080,13.90683368
164,2442,4240,6,6,4548,3415.197436,780,29126,14.13929789
165,1799,461,11,22,4526,3406.688626,10656,113311,12.66431982
